id;id_livraison;prix_livraison;date;adresse_livraison
1;78148;98385;2023-04-09T20:52:42;lavender extend Account
2;10292;13235;2023-04-09T19:36:48;Manager
3;42939;92423;2023-04-09T00:48:33;purple
4;42013;15010;2023-04-09T07:47:00;1080p
5;61135;58470;2023-04-09T18:07:29;Account contingency
6;86881;60732;2023-04-09T14:20:36;Account driver
7;24669;86136;2023-04-09T21:47:29;input SDR Fresh
8;72791;80864;2023-04-09T06:26:40;c engineer
9;98988;85051;2023-04-09T06:19:52;disintermediate invoice b
10;69289;24595;2023-04-09T16:13:40;systems
